"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Drive Strength
1,PD0,,Available,In,,,,,,,
2,PD31,,Available,In,,,,,,,
4,PE0,,Available,In,,,,,,,
6,PE1,,Available,In,,,,,,,
7,PE2,,Available,In,,,,,,,
10,PE3,,Available,In,,,,,,,
11,PC0,MEM_D0,EBI_D0,n/a,n/a,No,Disabled,No,No,Disabled,Low
12,PC27,MEM_A9,EBI_A9,n/a,n/a,No,Disabled,No,No,Disabled,Low
13,PC26,MEM_A8,EBI_A8,n/a,n/a,No,Disabled,No,No,Disabled,Low
14,PC31,MEM_A13,EBI_A13,n/a,n/a,No,Disabled,No,No,Disabled,Low
15,PC30,MEM_A12,EBI_A12,n/a,n/a,No,Disabled,No,No,Disabled,Low
16,PC29,MEM_A11,EBI_A11,n/a,n/a,No,Disabled,No,No,Disabled,Low
17,PC12,CAN_RX_2,MCAN1_CANRX1,n/a,n/a,No,Disabled,No,No,Disabled,Low
18,PC15,LCL_MRAM_RST,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
19,PC13,LCL_MRAM_SET,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
20,PB1,LCL_PWM_MRAM,PWM0_PWMH1,n/a,n/a,No,Disabled,No,No,Disabled,Low
21,PB0,LCL_PWM_NAND,PWM0_PWMH0,n/a,n/a,No,Disabled,No,No,Disabled,Low
22,PA20,MEM_A16,EBI_A16,n/a,n/a,No,Disabled,No,No,Disabled,Low
23,PA19,MEM_A15,EBI_A15,n/a,n/a,No,Disabled,No,No,Disabled,Low
24,PA18,MEM_A14,EBI_A14,n/a,n/a,No,Disabled,No,No,Disabled,Low
25,PA17,LCL_NAND_SET,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
26,PB2,CAN_TX_1,MCAN0_CANTX0,n/a,n/a,No,Disabled,No,No,Disabled,Low
27,PE4,LCL_NAND_RST,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
28,PE5,ADM_DEPLOY_3,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
31,PB3,CAN_RX_1,MCAN0_CANRX0,n/a,n/a,No,Disabled,No,No,Disabled,Low
32,PA21,,Available,In,,,,,,,
34,PD30,ADM_DEPLOY_2,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
35,PA7,MCU_RTC_IN,PMC_XIN32,n/a,n/a,No,Disabled,No,No,Disabled,Low
36,PA8,MCU_RTC_OUT,PMC_XOUT32,n/a,n/a,No,Disabled,No,No,Disabled,Low
37,PA22,ADM_ENABLE_1,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
38,PC1,MEM_D1,EBI_D1,n/a,n/a,No,Disabled,No,No,Disabled,Low
39,PC2,MEM_D2,EBI_D2,n/a,n/a,No,Disabled,No,No,Disabled,Low
40,PC3,MEM_D3,EBI_D3,n/a,n/a,No,Disabled,No,No,Disabled,Low
41,PC4,MEM_D4,EBI_D4,n/a,n/a,No,Disabled,No,No,Disabled,Low
42,PA13,ADM_DEPLOY_1,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
45,PA16,,Available,In,,,,,,,
46,PA23,MEM_A19,EBI_A19,n/a,n/a,No,Disabled,No,No,Disabled,Low
